Success Rate (%),Average Cost,Standard Deviation,Average Execution Time (s),Parameters,Dataset
100.0,40438.4,13883.857793855424,0.0458251953125,"(1000, 0.95, 2000, 0.001, 500, 10000)",datasets/sppnw41.txt
100.0,210465.7,134125.8548685152,0.04022390842437744,"(1000, 0.95, 2000, 0.001, 500, 100000)",datasets/sppnw41.txt
100.0,18424.9,1822.9938261003522,0.017670321464538574,"(1000, 0.95, 2000, 0.001, 1000, 1000)",datasets/sppnw41.txt
100.0,50603.5,11567.585463267606,0.034465789794921875,"(1000, 0.95, 2000, 0.001, 1000, 10000)",datasets/sppnw41.txt
100.0,269779.6,127986.49691057256,0.05143156051635742,"(1000, 0.95, 2000, 0.001, 1000, 100000)",datasets/sppnw41.txt
100.0,19180.3,744.6575118804617,0.006461691856384277,"(1000, 0.95, 2000, 0.001, 2000, 1000)",datasets/sppnw41.txt
100.0,50216.1,9577.5847837542,0.034540843963623044,"(1000, 0.95, 2000, 0.001, 2000, 10000)",datasets/sppnw41.txt
100.0,299524.6,133630.16826091328,0.04583959579467774,"(1000, 0.95, 2000, 0.001, 2000, 100000)",datasets/sppnw41.txt
100.0,19114.7,935.8572594151311,0.007366609573364258,"(1000, 0.95, 2000, 0.0001, 500, 1000)",datasets/sppnw41.txt
100.0,39945.0,15451.731391659641,0.04096345901489258,"(1000, 0.95, 2000, 0.0001, 500, 10000)",datasets/sppnw41.txt
100.0,230143.2,153969.81629774065,0.06660230159759521,"(1000, 0.95, 2000, 0.0001, 500, 100000)",datasets/sppnw41.txt
100.0,19052.9,782.4774054245911,0.0073956727981567385,"(1000, 0.95, 2000, 0.0001, 1000, 1000)",datasets/sppnw41.txt
100.0,41102.0,16976.71843437359,0.033680295944213866,"(1000, 0.95, 2000, 0.0001, 1000, 10000)",datasets/sppnw41.txt
100.0,288689.1,151532.72124821754,0.046794676780700685,"(1000, 0.95, 2000, 0.0001, 1000, 100000)",datasets/sppnw41.txt
100.0,18662.0,964.2637605966534,0.00733940601348877,"(1000, 0.95, 2000, 0.0001, 2000, 1000)",datasets/sppnw41.txt
100.0,47441.7,12434.033714366387,0.046879816055297854,"(1000, 0.95, 2000, 0.0001, 2000, 10000)",datasets/sppnw41.txt
100.0,270678.7,116211.02403907299,0.0732525110244751,"(1000, 0.95, 2000, 0.0001, 2000, 100000)",datasets/sppnw41.txt
100.0,18216.6,1940.3854874740741,0.008386707305908203,"(1000, 0.95, 2000, 1e-05, 500, 1000)",datasets/sppnw41.txt
100.0,42734.0,15235.692481800754,0.04620966911315918,"(1000, 0.95, 2000, 1e-05, 500, 10000)",datasets/sppnw41.txt
100.0,279965.6,154974.13526856666,0.06319849491119385,"(1000, 0.95, 2000, 1e-05, 500, 100000)",datasets/sppnw41.txt
